Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,22.700001,23.700001,21.200001,22.480000,9.330150,579
2003-02-01,22.400000,23.600000,21.700001,23.000000,9.545968,490
2003-03-01,23.000000,24.990000,22.500000,24.000000,9.961014,543
2003-04-01,24.000000,26.200001,22.650000,26.200001,10.874103,270
2003-05-01,26.200001,27.799999,24.500000,25.100000,10.417554,644
2003-06-01,25.000000,25.750000,22.799999,23.799999,9.878003,618
2003-07-01,23.500000,24.000000,22.400000,22.600000,9.379955,442
2003-08-01,23.000000,220.000000,21.020000,26.020000,10.799397,614
2003-09-01,26.200001,32.500000,26.150000,31.200001,12.949317,1533
2003-10-01,31.200001,32.900002,29.000000,31.400000,13.032327,883
2003-11-01,32.000000,32.299999,30.000000,30.799999,12.783295,1101
2003-12-01,31.000000,37.000000,30.420000,36.500000,15.149036,710
2004-01-01,36.500000,43.599998,35.700001,37.790001,15.684449,1035
2004-02-01,37.700001,41.099998,36.009998,38.500000,15.979128,393
2004-03-01,39.000000,47.500000,39.000000,41.599998,17.265757,554
2004-04-01,42.000000,43.320000,35.099998,35.099998,14.567984,461
2004-05-01,36.000000,36.700001,32.500000,36.099998,14.983018,407
2004-06-01,36.099998,40.000000,36.099998,40.000000,16.601685,294
2004-07-01,39.500000,41.500000,38.110001,40.200001,16.684696,516
2004-08-01,39.990002,42.650002,38.230000,39.599998,16.435667,506
2004-09-01,39.599998,42.000000,38.990002,40.500000,16.809210,467
2004-10-01,40.500000,42.000000,36.299999,38.419998,15.945917,613
2004-11-01,37.990002,40.509998,37.990002,39.119999,16.236454,538
2004-12-01,39.119999,46.500000,39.119999,46.500000,19.299459,920
2005-01-01,46.400002,46.400002,39.099998,42.000000,17.431772,375
2005-02-01,42.049999,48.900002,42.049999,46.490002,19.295309,309
2005-03-01,46.000000,47.500000,40.000000,40.400002,16.767704,706
2005-04-01,41.200001,42.000000,36.000000,37.000000,15.356554,725
2005-05-01,37.500000,38.160000,35.700001,36.500000,15.149036,616
2005-06-01,36.900002,38.009998,35.500000,36.169998,15.012078,95270
2005-07-01,36.009998,37.500000,33.049999,35.480000,14.725698,1833500
2005-08-01,35.480000,35.900002,33.099998,35.000000,14.526475,623300
2005-09-01,35.000000,37.980000,31.950001,32.650002,13.551128,653300
2005-10-01,32.750000,33.750000,31.600000,33.349998,13.841656,507000
2005-11-01,33.200001,36.990002,33.009998,36.000000,14.941523,387800
2005-12-01,35.470001,37.490002,35.470001,37.490002,15.559935,536700
2006-01-01,36.169998,39.990002,36.119999,39.500000,16.394165,546000
2006-02-01,38.400002,42.000000,37.599998,40.250000,16.705446,543500
2006-03-01,40.250000,44.000000,40.250000,42.599998,17.680788,665100
2006-04-01,42.650002,44.000000,42.000000,42.790001,17.759657,439300
2006-05-01,42.799999,42.799999,35.900002,37.500000,15.564078,16079775
2006-06-01,37.500000,40.000000,36.299999,39.000000,16.186644,19135852
2006-07-01,39.049999,39.049999,37.099998,38.000000,15.771603,13477686
2006-08-01,37.799999,42.400002,37.799999,40.500000,16.809210,35695521
2006-09-01,40.500000,42.990002,39.099998,40.869999,16.962774,2990337
2006-10-01,42.000000,42.900002,40.810001,42.900002,17.805313,837400
2006-11-01,42.330002,44.000000,40.200001,41.650002,17.286507,775100
2006-12-01,41.650002,47.990002,41.259998,47.320000,19.639793,638600
2007-01-01,47.320000,48.250000,44.250000,48.250000,20.025787,444300
2007-02-01,48.900002,51.599998,44.310001,46.299999,19.216452,481700
2007-03-01,46.099998,48.000000,42.639999,46.000000,19.091936,1035900
2007-04-01,46.000000,53.000000,44.000000,52.799999,21.914225,836100
2007-05-01,52.799999,57.299999,52.060001,56.389999,23.404226,980400
2007-06-01,56.980000,58.990002,52.000000,58.000000,24.072449,711800
2007-07-01,56.299999,66.980003,54.000000,57.740002,23.964527,713100
2007-08-01,57.750000,62.000000,50.000000,59.889999,24.856867,519400
2007-09-01,60.200001,61.480000,55.820000,56.799999,23.574394,471800
2007-10-01,56.509998,59.799999,54.509998,55.990002,23.238214,790200
2007-11-01,55.150002,56.599998,44.700001,44.730000,18.564835,687300
2007-12-01,45.200001,47.500000,43.000000,46.500000,19.299459,468400
2008-01-01,46.500000,46.500000,39.000000,43.500000,18.054333,481400
2008-02-01,43.509998,47.490002,42.900002,44.500000,18.469379,238400
2008-03-01,44.840000,45.490002,38.810001,39.400002,16.352665,351700
2008-04-01,39.299999,40.500000,36.959999,38.000000,15.771603,696100
2008-05-01,38.000000,42.000000,38.000000,41.000000,17.016731,479500
2008-06-01,41.090000,41.599998,38.599998,40.500000,16.809210,416600
2008-07-01,40.200001,40.200001,36.900002,38.830002,16.116091,476000
2008-08-01,38.799999,40.650002,37.910000,38.820000,16.111940,605500
2008-09-01,38.779999,39.700001,34.009998,38.799999,16.103630,587200
2008-10-01,38.160000,41.169998,35.000000,37.000000,15.356554,1149900
2008-11-01,38.200001,40.000000,33.619999,34.700001,14.401966,533900
2008-12-01,34.000000,40.500000,33.080002,37.000000,15.356554,644200
2009-01-01,37.000000,37.700001,34.700001,36.049999,14.962268,299300
2009-02-01,36.009998,36.259998,34.000000,35.000000,14.526475,211600
2009-03-01,35.340000,38.700001,33.860001,38.299999,15.896113,382300
2009-04-01,38.549999,40.000000,37.299999,39.950001,16.911169,227400
2009-05-01,39.950001,41.490002,39.310001,41.200001,17.440300,286300
2009-06-01,40.160000,42.000000,39.700001,41.599998,17.991018,397100
2009-07-01,41.750000,41.790001,35.020000,36.509998,15.789718,672000
2009-08-01,36.970001,37.950001,36.630001,37.200001,16.088123,305000
2009-09-01,37.209999,40.349998,37.000000,39.500000,17.082819,344400
2009-10-01,39.290001,40.990002,37.639999,38.950001,16.844954,250600
2009-11-01,38.950001,40.599998,37.910000,38.099998,16.477350,240600
2009-12-01,39.000000,39.290001,36.000000,37.990002,16.429785,321300
2010-01-01,37.959999,37.959999,35.330002,36.900002,15.958386,458400
2010-02-01,36.799999,37.000000,34.740002,35.000000,15.136672,373200
2010-03-01,34.689999,36.090000,32.439999,32.570000,14.085753,405100
2010-04-01,32.970001,33.680000,28.500000,29.780001,12.879149,654403
2010-05-01,29.780001,31.400000,29.000000,30.250000,14.058522,443384
2010-06-01,29.900000,34.000000,29.799999,32.779999,15.234331,692109
2010-07-01,32.400002,35.860001,31.770000,35.200001,16.359016,574300
2010-08-01,34.709999,36.980000,34.000000,36.840000,17.121189,314769
2010-09-01,36.799999,39.000000,36.040001,37.799999,17.567341,545784
2010-10-01,36.709999,39.750000,36.020000,38.900002,18.078566,209500
2010-11-01,38.500000,39.200001,36.509998,36.889999,17.311090,141600
2010-12-01,37.389999,39.889999,36.000000,39.299999,18.442011,334800
2011-01-01,38.919998,39.549999,37.430000,39.180000,18.385696,379000
2011-02-01,38.470001,40.980000,38.040001,40.709999,19.287415,224925
2011-03-01,40.709999,42.299999,36.049999,37.250000,17.648140,371477
2011-04-01,36.540001,39.290001,36.540001,38.400002,19.430258,237300
2011-05-01,38.000000,42.500000,37.490002,42.500000,23.140192,208555
2011-06-01,42.009998,43.910000,39.139999,41.549999,22.622936,1127600
2011-07-01,41.130001,43.110001,40.000000,41.330002,22.503157,324527
2011-08-01,42.259998,44.700001,36.650002,44.650002,24.310823,314800
2011-09-01,44.889999,47.990002,41.599998,43.889999,23.897011,319500
2011-10-01,41.950001,46.980000,40.910000,45.200001,24.610277,571300
2011-11-01,45.000000,46.549999,43.060001,44.500000,25.005116,181400
2011-12-01,45.799999,48.000000,43.380001,47.790001,26.853809,292900
2012-01-01,46.639999,47.500000,43.060001,43.599998,24.499388,498000
2012-02-01,44.000000,47.490002,42.740002,46.700001,26.527170,340900
2012-03-01,46.299999,51.150002,45.599998,50.980000,28.958351,294500
2012-04-01,50.500000,51.799999,47.400002,48.790001,27.714354,248800
2012-05-01,48.790001,49.889999,42.869999,43.939999,25.319464,372300
2012-06-01,43.180000,45.599998,39.000000,45.599998,26.276005,332000
2012-07-01,45.500000,47.880001,40.849998,44.490002,25.636389,256900
2012-08-01,43.810001,45.889999,38.709999,39.400002,22.703388,380100
2012-09-01,39.290001,42.150002,38.709999,40.189999,23.158604,210600
2012-10-01,39.810001,45.200001,37.430000,38.599998,22.242401,357600
2012-11-01,38.349998,43.000000,38.349998,40.299999,23.221989,605500
2012-12-01,40.320000,43.650002,39.000000,43.650002,25.729088,490600
